,Scheme,Category,Type,Benchmark,Rating,Net_Asset_Value(Rs.),CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Min. Invest(Rs.),Exp. Ratio(%),SIP Min. Inv.(Rs.)
1436,Motilal Oswal Focused Fund-Reg(IDCW), Equity - Focused Fund, Open ended, NIFTY 500 - TRI,0,17.75,3.42,9.20,8.62,1000.0,2.18,"1,000.00"
1437,Bank of India Balanced Advantage Fund-Reg(G), Hybrid - Balanced Advantage, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index,0,18.83,14.90,8.86,4.91,5000.0,2.6,"1,000.00"
1438,Union Focused Fund-Reg(G), Equity - Focused Fund, Open ended, S&P BSE 500 - TRI,0,17.86,0.11,15.49,-,1000.0,2.59,"1,000.00"
1439,IIFL Dynamic Bond Fund-Reg(H-IDCW), Debt - Dynamic Bond, Open ended, CRISIL Dynamic Debt Index,0,17.79,3.70,2.92,5.40,10000.0,0.52,"1,000.00"
1440,Motilal Oswal Midcap Fund-Reg(G), Equity - Mid Cap Fund, Open ended, Nifty Midcap 150 - TRI,0,50.43,12.78,20.59,14.89,1000.0,2.04,"1,000.00"
1441,Indiabulls Short Term Fund-Reg(G), Debt - Short Duration Fund, Open ended, N/A,0,1782.95,4.68,2.64,3.48,1000.0,1.49,"1,000.00"
1442,Indiabulls Short Term Fund-Reg(M-IDCW), Debt - Short Duration Fund, Open ended, N/A,0,1021.92,4.68,2.64,3.44,1000.0,1.49,"1,000.00"
1443,Indiabulls Short Term Fund-Reg(FN-IDCW), Debt - Short Duration Fund, Open ended, N/A,0,1015.85,3.91,2.23,3.32,1000.0,1.49,"1,000.00"
1444,Indiabulls Short Term Fund-Reg(W-IDCW), Debt - Short Duration Fund, Open ended, N/A,0,1013.19,4.68,2.64,3.41,1000.0,1.49,"1,000.00"
1445,Edelweiss Banking and PSU Debt Fund-Reg(G), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,0,20.53,5.25,2.84,5.67,5000.0,0.64,"1,000.00"
1446,Edelweiss Banking and PSU Debt Fund-Reg(IDCW), Debt - Banking and PSU Fund, Open ended, NIFTY Banking and PSU Debt Index,0,17.48,5.25,2.84,5.67,5000.0,0.64,"1,000.00"
