,Scheme,Category,Type,Benchmark,Rating,Net_Asset_Value(Rs.),CAGR% 6 Months,CAGR% 1 Year,CAGR% 3 Year,Min. Invest(Rs.),Exp. Ratio(%),SIP Min. Inv.(Rs.)
2262,Mirae Asset Nifty India Manufacturing ETF FoF-Reg(G), FoFs (Domestic) - Equity Oriented, Open ended, Nifty India Manufacturing - TRI,0,10.5,5.01,-,-,5000.0,0.58,"1,000.00"
2263,Edelweiss Focused Equity Fund-Reg(G), Equity - Focused Fund, Open ended, NIFTY 500 - TRI,0,10.44,-,-,-,5000.0,2.53,"1,000.00"
2264,IIFL Quant Fund-Reg(IDCW Payout), Equity - Thematic Fund - Other, Open ended, S&P BSE 200 - TRI,0,10.21,4.03,-,-,1000.0,1.58,"1,000.00"
2265,Edelweiss NIFTY Large Mid Cap 250 Index Fund-Reg(IDCW), Index Funds - Other, Open ended, NIFTY LargeMidcap 250 - TRI,0,10.12,3.28,-,-,1000.0,1.03,"1,000.00"
2266,Quant Value Fund-Reg(G), Equity - Value Fund, Open ended, NIFTY 500 - TRI,0,11.05,6.50,-,-,5000.0,2.62,"1,000.00"
2267,Quant Value Fund-Reg(IDCW), Equity - Value Fund, Open ended, NIFTY 500 - TRI,0,11.03,6.35,-,-,5000.0,2.62,"1,000.00"
2268,Axis Nifty 50 Index Fund-Reg(IDCW), Index Funds - Nifty, Open ended, NIFTY 50 - TRI,0,10.55,4.57,-,-,1000.0,0.42,"1,000.00"
2269,Motilal Oswal MSCI EAFE Top 100 Select Index Fund-Reg(G), Index Funds - Other, Open ended, MSCI EAFE Top 100 Select Index,0,10.91,7.78,-,-,1000.0,1.06,"1,000.00"
2270,Tata Corp Bond Fund-Reg(G), Debt - Corporate Bond Fund, Open ended, CRISIL Corporate Bond Index,0,10.33,5.09,2.64,-,5000.0,0.87,"1,000.00"
2271,Tata Corp Bond Fund-Reg(IDCW), Debt - Corporate Bond Fund, Open ended, CRISIL Corporate Bond Index,0,10.33,5.09,2.64,-,5000.0,0.87,"1,000.00"
2272,Tata Corp Bond Fund-Reg(M-IDCW), Debt - Corporate Bond Fund, Open ended, CRISIL Corporate Bond Index,0,10.33,5.09,2.64,-,5000.0,0.87,"1,000.00"
2273,Tata Corp Bond Fund-Reg(Q-IDCW), Debt - Corporate Bond Fund, Open ended, CRISIL Corporate Bond Index,0,10.33,5.09,2.64,-,5000.0,0.87,"1,000.00"
2274,HDFC Multi Cap Fund-Reg(G), Equity - Multi Cap Fund, Open ended, Nifty500 Multicap 50:25:25 - TRI,0,11.09,10.72,-,-,1000.0,2.09,"1,000.00"
2275,HDFC Multi Cap Fund-Reg(IDCW), Equity - Multi Cap Fund, Open ended, Nifty500 Multicap 50:25:25 - TRI,0,11.09,10.72,-,-,1000.0,2.09,"1,000.00"
2276,Axis Multicap Fund-Reg(IDCW), Equity - Multi Cap Fund, Open ended, Nifty500 Multicap 50:25:25 - TRI,0,9.88,1.55,-,-,1000.0,1.86,"1,000.00"
2277,ICICI Pru PSU Equity Fund-Reg(G), Equity - Thematic Fund - Other, Open ended, S&P BSE PSU - TRI,0,10.36,-,-,-,5000.0,2.32,"1,000.00"
2278,Kotak Manufacture in India Fund-Reg(G), Equity - Thematic Fund - Other, Open ended, Nifty India Manufacturing - TRI,0,11.16,-,-,-,5000.0,2.27,"1,000.00"
2279,ICICI Pru Nifty Midcap 150 Index Fund-Reg(G), Index Funds - Other, Open ended, Nifty Midcap 150 - TRI,0,10.3,4.43,-,-,1000.0,1,"1,000.00"
2280,ICICI Pru Nifty Midcap 150 Index Fund-Reg(IDCW), Index Funds - Other, Open ended, Nifty Midcap 150 - TRI,0,10.3,4.43,-,-,1000.0,1,"1,000.00"
2281,Aditya Birla SL Nifty SDL Apr 2027 Index Fund-Reg(G), Debt - Gilt Fund, Open ended, Nifty SDL Apr 2027 Index,0,10.31,4.92,2.20,-,1000.0,0.55,"1,000.00"
2282,Motilal Oswal S&P BSE Financials ex Bank 30 Index Fund-Reg(G), Index Funds - Other, Open ended, S&P BSE Financials ex Bank 30 - TRI,0,9.72,-,-,-,1000.0,0.98,"1,000.00"
2283,IDFC Nifty 100 Index Fund-Reg(G), Index Funds - Other, Open ended, NIFTY 100 - TRI,0,10.3,-,-,-,1000.0,0.62,"1,000.00"
2284,BHARAT Bond ETF FOF - April 2032 -Reg(G), FoFs (Domestic) - Debt Oriented, Open ended, NIFTY BHARAT Bond Index - April 2032,0,10.38,3.33,-,-,1000.0,0.06,"1,000.00"
2285,BHARAT Bond ETF FOF - April 2032 -Reg(IDCW), FoFs (Domestic) - Debt Oriented, Open ended, NIFTY BHARAT Bond Index - April 2032,0,10.38,3.33,-,-,1000.0,0.06,"1,000.00"
2286,Mirae Asset Nifty SDL Jun 2027 Index Fund-Reg(G), Debt - Gilt Fund, Open ended, Nifty SDL Jun 2027 Index,0,10.21,5.32,-,-,5000.0,0.3,"1,000.00"
2287,Mahindra Manulife Balanced Advantage Yojana-Reg(IDCW), Hybrid - Balanced Advantage, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index,0,10.11,1.84,-,-,1000.0,2.35,"1,000.00"
2288,ICICI Pru Passive Multi-Asset FoF(G), FoFs (Domestic) - Debt Oriented, Open ended, N/A,0,10.84,6.74,-,-,1000.0,0.57,"1,000.00"
2289,ICICI Pru Passive Multi-Asset FoF(IDCW), FoFs (Domestic) - Debt Oriented, Open ended, N/A,0,10.84,6.74,-,-,1000.0,0.57,"1,000.00"
2290,Nippon India Silver ETF FOF-Reg(G), FoFs (Domestic) - Debt Oriented, Open ended, Silver,0,10.47,1.93,-,-,1000.0,0.59,"1,000.00"
2291,IDFC CRISIL IBX 90:10 SDL Plus Gilt - Sep 2027 Index Fund-Reg(G), Debt - Gilt Fund, Open ended, CRISIL IBX 90:10 SDL Plus Gilt Index - September 2027,0,10.12,-,-,-,1000.0,0.4,"1,000.00"
2292,IDFC CRISIL IBX 90:10 SDL Plus Gilt - Nov 2026 Index Fund-Reg(G), Debt - Gilt Fund, Open ended, CRISIL IBX 90:10 SDL Plus Gilt Index - November 2026,0,10.15,-,-,-,1000.0,0.4,"1,000.00"
2293,ICICI Pru Silver ETF FOF(G), FoFs (Domestic) - Debt Oriented, Open ended, Silver,0,10.46,1.57,-,-,1000.0,0.77,"1,000.00"
2294,Samco Flexi Cap Fund-Reg(G), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI,0,9.32,-7.04,-,-,5000.0,2.43,"1,000.00"
2295,ITI Conservative Hybrid Fund-Reg(G), Hybrid - Conservative Hybrid Fund, Open ended, NIFTY 50 Hybrid Composite Debt 15:85 Index,0,10.35,-,-,-,5000.0,1.62,"1,000.00"
2296,Union Gilt Fund-Reg(G), Debt - Gilt Fund, Open ended, CRISIL Dynamic Gilt Index,0,10.23,4.30,-,-,1000.0,1.17,"1,000.00"
2297,Mirae Asset Balanced Advantage Fund-Reg(G), Hybrid - Dynamic Asset Allocation, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index,0,10.18,-,-,-,5000.0,2.27,"1,000.00"
2298,Aditya Birla SL Silver ETF FOF-Reg(G), FoFs (Domestic) - Debt Oriented, Open ended, Silver,0,10.66,2.27,-,-,1000.0,0.64,"1,000.00"
2299,Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2025 Index Fund-Reg(G), Debt - Corporate Bond Fund, Open ended, CRISIL IBX 60:40 PSU + AAA PSU Index - April 2025,0,10.2,4.87,-,-,1000.0,0.35,"1,000.00"
2300,Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2027 Index Fund-Reg(G), Debt - Corporate Bond Fund, Open ended, CRISIL IBX 60:40 PSU + AAA PSU Index - April 2027,0,10.19,4.79,-,-,1000.0,0.4,"1,000.00"
2301,SBI CPSE Bond Plus SDL Sep 2026 50:50 Index Fund-Reg(IDCW), Debt - Corporate Bond Fund, Open ended, Nifty CPSE Bond Plus SDL Sep 2026 50:50 Index,0,10.28,4.48,1.96,-,5000.0,0.39,"1,000.00"
2302,Axis Nifty Next 50 Index Fund-Reg(IDCW), Index Funds - Nifty Next 50, Open ended, NIFTY NEXT 50 - TRI,0,9.41,-6.33,-,-,1000.0,0.83,"1,000.00"
2303,Mirae Asset Nifty India Manufacturing ETF FoF-Reg(IDCW), FoFs (Domestic) - Equity Oriented, Open ended, Nifty India Manufacturing - TRI,0,10.54,5.40,-,-,5000.0,0.58,"1,000.00"
2304,Axis CRISIL IBX 70:30 CPSE Plus SDL April 2025 Index Fund-Reg(IDCW), Debt - Corporate Bond Fund, Open ended, CRISIL IBX 70:30 CPSE Plus SDL - April 2025,0,10.25,4.67,2.02,-,5000.0,0.3,"1,000.00"
2305,Aditya Birla SL Silver ETF FOF-Reg(IDCW), FoFs (Domestic) - Debt Oriented, Open ended, Silver,0,10.66,2.25,-,-,1000.0,0.64,"1,000.00"
2306,Nippon India Silver ETF FOF-Reg(IDCW), FoFs (Domestic) - Debt Oriented, Open ended, Silver,0,10.47,1.93,-,-,1000.0,0.59,"1,000.00"
2307,ICICI Pru Silver ETF FOF(IDCW), FoFs (Domestic) - Debt Oriented, Open ended, Silver,0,10.46,1.57,-,-,1000.0,0.77,"1,000.00"
2308,Aditya Birla SL Nifty SDL Apr 2027 Index Fund-Reg(IDCW), Debt - Gilt Fund, Open ended, Nifty SDL Apr 2027 Index,0,10.31,4.92,2.20,-,1000.0,0.55,"1,000.00"
2309,Invesco India Flexi Cap Fund-Reg(IDCW), Equity - Flexi Cap Fund, Open ended, S&P BSE 500 - TRI,0,10.51,4.60,-,-,1000.0,2.26,"1,000.00"
2310,TRUSTMF Overnight Fund-Reg(DD-IDCW), Debt - Overnight Fund, Open ended, CRISIL Overnight Index,0,1053.21,5.01,-,-,1000.0,0.12,"1,000.00"
2311,UTI S&P BSE Sensex Index Fund-Reg(G), Index Funds - Sensex, Open ended, S&P BSE SENSEX - TRI,0,10.7,6.61,-,-,5000.0,0.29,"1,000.00"
2312,Motilal Oswal Nifty 200 Momentum 30 Index Fund-Reg(G), Index Funds - Other, Open ended, Nifty200 Momentum 30 - TRI,0,9.15,-9.14,-,-,1000.0,0.97,"1,000.00"
2313,DSP Global Innovation FoF-Reg(IDCW), FoFs (Overseas), Open ended, MSCI AC World Index,0,9.43,-5.68,-,-,1000.0,2.23,"1,000.00"
2314,IDFC Nifty 100 Index Fund-Reg(IDCW), Index Funds - Other, Open ended, NIFTY 100 - TRI,0,10.3,-,-,-,1000.0,0.62,"1,000.00"
2315,Tata Nifty SDL Plus AAA PSU Bond Dec 2027 60:40 Index Fund-Reg(G), Debt - Corporate Bond Fund, Open ended, Nifty SDL Plus AAA PSU Bond Dec 2027 60: 40 Index - TRI,0,10.31,4.72,-,-,5000.0,0.46,"1,000.00"
2316,Tata Nifty India Digital ETF FoF-Reg(G), FoFs (Domestic) - Equity Oriented, Open ended, Nifty India Digital  - TRI,0,8.97,-,-,-,5000.0,0.55,"1,000.00"
2317,ICICI Pru Nifty G-Sec Dec 2030 Index Fund-Reg(G), Debt - Gilt Fund, Open ended, Nifty G-Sec Dec 2030 Index,0,10.31,-,-,-,1000.0,0.4,"1,000.00"
2318,ICICI Pru Nifty SDL Dec 2028 Index Fund-Reg(G), Debt - Gilt Fund, Open ended, Nifty SDL Dec 2028 Index,0,10.31,-,-,-,1000.0,0.4,"1,000.00"
2319,Aditya Birla SL Nifty Next 50 Index Fund-Reg(G), Index Funds - Nifty Next 50, Open ended, NIFTY NEXT 50 - TRI,0,9.46,-,-,-,1000.0,1.03,"1,000.00"
2320,Aditya Birla SL Nifty Next 50 Index Fund-Reg(IDCW), Index Funds - Nifty Next 50, Open ended, NIFTY NEXT 50 - TRI,0,9.47,-,-,-,1000.0,1.03,"1,000.00"
2321,Kotak Manufacture in India Fund-Reg(IDCW), Equity - Thematic Fund - Other, Open ended, Nifty India Manufacturing - TRI,0,11.16,-,-,-,5000.0,2.27,"1,000.00"
2322,WOC Flexi Cap Fund-Reg(G), Equity - Flexi Cap Fund, Open ended, S&P BSE 500 - TRI,0,10.27,-,-,-,1000.0,2.23,"1,000.00"
2323,Axis Silver FoF-Reg(G), FoFs (Domestic) - Debt Oriented, Open ended, Silver,0,11.71,-,-,-,5000.0,0.7,"1,000.00"
2324,Axis Equity ETFs FoF-Reg(G), FoFs (Domestic) - Equity Oriented, Open ended, NIFTY 500 - TRI,0,10.54,-,-,-,5000.0,0.27,"1,000.00"
2325,Axis Equity ETFs FoF-Reg(IDCW), FoFs (Domestic) - Equity Oriented, Open ended, NIFTY 500 - TRI,0,10.54,-,-,-,5000.0,0.27,"1,000.00"
2326,Kotak Nifty SDL Apr 2027 Top 12 Equal Weight Index Fund-Reg(G), Debt - Corporate Bond Fund, Open ended, Nifty SDL Apr 2027 Top 12 Equal Weight Index,0,10.23,5.18,2.18,-,5000.0,0.35,"1,000.00"
2327,Kotak Nifty SDL Apr 2027 Top 12 Equal Weight Index Fund-Reg(IDCW), Debt - Corporate Bond Fund, Open ended, Nifty SDL Apr 2027 Top 12 Equal Weight Index,0,10.23,5.18,2.18,-,5000.0,0.35,"1,000.00"
2328,Axis CRISIL IBX SDL May 2027 Index Fund-Reg(IDCW), Debt - Gilt Fund, Open ended, CRISIL IBX SDL Index - May 2027,0,10.2,5.25,-,-,5000.0,0.31,"1,000.00"
2329,Kotak Nifty SDL Apr 2032 Top 12 Equal Weight Index Fund-Reg(G), Debt - Corporate Bond Fund, Open ended, Nifty SDL Apr 2032 Top 12 Equal Weight Index,0,10.37,6.47,3.37,-,5000.0,0.36,"1,000.00"
2330,Kotak Nifty SDL Apr 2032 Top 12 Equal Weight Index Fund-Reg(IDCW), Debt - Corporate Bond Fund, Open ended, Nifty SDL Apr 2032 Top 12 Equal Weight Index,0,10.37,6.47,3.40,-,5000.0,0.36,"1,000.00"
2331,ICICI Pru Nifty Bank Index Fund-Reg(IDCW), Index Funds - Other, Open ended, NIFTY BANK - TRI,0,11.68,-,-,-,1000.0,1,"1,000.00"
2332,SBI Multicap Fund-Reg(G), Equity - Multi Cap Fund, Open ended, Nifty500 Multicap 50:25:25 - TRI,0,10.42,-,-,-,5000.0,1.84,"1,000.00"
2333,SBI Multicap Fund-Reg(IDCW), Equity - Multi Cap Fund, Open ended, Nifty500 Multicap 50:25:25 - TRI,0,10.42,-,-,-,5000.0,1.84,"1,000.00"
2334,UTI S&P BSE Low Volatility Index Fund-Reg(G), Index Funds - Other, Open ended, S&P BSE Low Volatility Index - TRI,0,11.08,-,-,-,5000.0,0.9,"1,000.00"
2335,Aditya Birla SL CRISIL IBX AAA - Jun 2023 Index Fund-Reg(G), Debt - Corporate Bond Fund, Open ended, CRISIL IBX AAA Index - June 2023,0,10.42,5.80,-,-,1000.0,0.3,"1,000.00"
2336,Aditya Birla SL CRISIL IBX AAA - Jun 2023 Index Fund-Reg(IDCW), Debt - Corporate Bond Fund, Open ended, CRISIL IBX AAA Index - June 2023,0,10.42,5.81,-,-,1000.0,0.3,"1,000.00"
2337,Axis Nifty Smallcap 50 Index Fund-Reg(IDCW), Index Funds - Other, Open ended, Nifty Smallcap 50 - TRI,0,9.14,-,-,-,1000.0,1,"1,000.00"
2338,ITI Conservative Hybrid Fund-Reg(Q-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, NIFTY 50 Hybrid Composite Debt 15:85 Index,0,10.35,-,-,-,5000.0,1.62,"1,000.00"
2339,ITI Conservative Hybrid Fund-Reg(H-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, NIFTY 50 Hybrid Composite Debt 15:85 Index,0,10.35,-,-,-,5000.0,1.62,"1,000.00"
2340,ITI Conservative Hybrid Fund-Reg(A-IDCW), Hybrid - Conservative Hybrid Fund, Open ended, NIFTY 50 Hybrid Composite Debt 15:85 Index,0,10.35,-,-,-,5000.0,1.62,"1,000.00"
2341,Motilal Oswal S&P BSE Low Volatility Index Fund-Reg(G), Index Funds - Other, Open ended, S&P BSE Low Volatility Index - TRI,0,11.04,-,-,-,1000.0,0.96,"1,000.00"
2342,HDFC Business Cycle Fund-Reg(G), Equity - Thematic Fund - Other, Open ended, NIFTY 500 - TRI,0,9.78,-,-,-,1000.0,2.2,"1,000.00"
2343,Edelweiss CRISIL PSU Plus SDL 50:50 Oct 2025 Index Fund-Reg(G), Debt - Corporate Bond Fund, Open ended, CRISIL IBX 50:50 PSU + SDL Index - October 2025,0,10.24,4.76,-,-,5000.0,0.36,"1,000.00"
2344,Edelweiss CRISIL PSU Plus SDL 50:50 Oct 2025 Index Fund-Reg(IDCW), Debt - Corporate Bond Fund, Open ended, CRISIL IBX 50:50 PSU + SDL Index - October 2025,0,10.24,4.76,-,-,5000.0,0.36,"1,000.00"
2345,Axis Nifty Midcap 50 Index Fund-Reg(G), Index Funds - Other, Open ended, Nifty Midcap 50 - TRI,0,10.54,-,-,-,1000.0,0.98,"1,000.00"
2346,Axis Nifty Midcap 50 Index Fund-Reg(IDCW), Index Funds - Other, Open ended, Nifty Midcap 50 - TRI,0,10.54,-,-,-,1000.0,0.98,"1,000.00"
2347,HDFC Silver ETF FoF-Reg(G), FoFs (Domestic) - Equity Oriented, Open ended, Silver,0,11.32,-,-,-,1000.0,0.67,"1,000.00"
2348,DSP Nifty Midcap 150 Quality 50 Index Fund-Reg(G), Index Funds - Other, Open ended, NIFTY Midcap150 Quality 50 - TRI,0,9.46,-,-,-,1000.0,1,"1,000.00"
2349,Kotak Business Cycle Fund-Reg(G), Equity - Thematic Fund - Other, Open ended, NIFTY 500 - TRI,0,10.04,-,-,-,5000.0,2.1,"1,000.00"
2350,DSP Nifty SDL Plus G-Sec Jun 2028 30:70 Index Fund-Reg(IDCW), Debt - Gilt Fund, Open ended, Nifty SDL Plus G-Sec Jun 2028 70:30 Index,0,10.29,5.14,-,-,1000.0,0.29,"1,000.00"
2351,HSBC CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund-Reg(G), Debt - Gilt Fund, Open ended, CRISIL IBX 50:50 Gilt Plus SDL Index - April 2028,0,10.29,4.92,-,-,5000.0,0.29,"1,000.00"
2352,HSBC CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund-Reg(IDCW), Debt - Gilt Fund, Open ended, CRISIL IBX 50:50 Gilt Plus SDL Index - April 2028,0,10.29,4.92,-,-,5000.0,0.29,"1,000.00"
2353,ICICI Pru Nifty SDL Sep 2027 Index Fund-Reg(G), Debt - Gilt Fund, Open ended, Nifty SDL Sep 2027 Index,0,10.22,5.08,-,-,1000.0,0.35,"1,000.00"
2354,ICICI Pru Nifty SDL Sep 2027 Index Fund-Reg(A-IDCW), Debt - Gilt Fund, Open ended, Nifty SDL Sep 2027 Index,0,10.22,5.08,-,-,1000.0,0.35,"1,000.00"
2355,ICICI Pru Housing Opp Fund-Reg(G), Equity - Thematic Fund - Other, Open ended, Nifty Housing - TRI,0,10.78,-,-,-,5000.0,2.1,"1,000.00"
2356,ICICI Pru Housing Opp Fund-Reg(IDCW), Equity - Thematic Fund - Other, Open ended, Nifty Housing - TRI,0,10.78,-,-,-,5000.0,2.1,"1,000.00"
2357,Tata Nifty SDL Plus AAA PSU Bond Dec 2027 60:40 Index Fund-Reg(IDCW), Debt - Corporate Bond Fund, Open ended, Nifty SDL Plus AAA PSU Bond Dec 2027 60: 40 Index - TRI,0,10.31,4.72,-,-,5000.0,0.46,"1,000.00"
2358,Tata Nifty India Digital ETF FoF-Reg(IDCW), FoFs (Domestic) - Equity Oriented, Open ended, Nifty India Digital  - TRI,0,8.97,-,-,-,5000.0,0.55,"1,000.00"
2359,Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2025 Index Fund-Reg(IDCW), Debt - Corporate Bond Fund, Open ended, CRISIL IBX 60:40 PSU + AAA PSU Index - April 2025,0,10.2,4.87,-,-,1000.0,0.35,"1,000.00"
2360,Aditya Birla SL CRISIL IBX 60:40 SDL + AAA PSU - Apr 2027 Index Fund-Reg(IDCW), Debt - Corporate Bond Fund, Open ended, CRISIL IBX 60:40 PSU + AAA PSU Index - April 2027,0,10.18,4.72,-,-,1000.0,0.4,"1,000.00"
2361,Mirae Asset Nifty SDL Jun 2027 Index Fund-Reg(IDCW), Debt - Gilt Fund, Open ended, Nifty SDL Jun 2027 Index,0,10.21,5.32,-,-,5000.0,0.3,"1,000.00"
2362,WOC Flexi Cap Fund-Reg(IDCW), Equity - Flexi Cap Fund, Open ended, S&P BSE 500 - TRI,0,10.27,-,-,-,1000.0,2.23,"1,000.00"
2363,LIC MF Money Market Fund-Reg(G), Debt - Money Market Fund, Open ended, Nifty Money Market Index,0,1026.71,4.92,-,-,5000.0,0.61,"1,000.00"
2364,Samco ELSS Tax Saver Fund-Reg(G), Equity - ELSS, Open ended, NIFTY 500 - TRI,0,10.07,-,-,-,1000.0,2.64,"1,000.00"
2365,IDFC Nifty100 Low Volatility 30 Index Fund-Reg(G), Index Funds - Other, Open ended, Nifty100 Low Volatility 30 - TRI,0,10.32,-,-,-,1000.0,1,"1,000.00"
2366,IDFC Nifty200 Momentum 30 Index Fund-Reg(G), Index Funds - Other, Open ended, Nifty200 Momentum 30 - TRI,0,9.51,-,-,-,1000.0,1,"1,000.00"
2367,HDFC Nifty G-Sec Jun 2027 Index Fund-Reg(G), Debt - Gilt Fund, Open ended, Nifty G-Sec Jun 2027 Index,0,10.09,-,-,-,1000.0,0.37,"1,000.00"
2368,HDFC Nifty G-Sec Jul 2031 Index Fund-Reg(G), Debt - Gilt Fund, Open ended, Nifty G-Sec July 2031 Index,0,10.19,-,-,-,1000.0,0.35,"1,000.00"
2369,Sundaram Flexi Cap Fund-Reg(G), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI,0,9.93,-,-,-,1000.0,2.11,"1,000.00"
2370,LIC MF Multi Cap Fund-Reg(G), Equity - Multi Cap Fund, Open ended, Nifty500 Multicap 50:25:25 - TRI,0,9.86,-,-,-,5000.0,2.69,"1,000.00"
2371,Franklin India Balanced Advantage Fund-Reg(G), Hybrid - Dynamic Asset Allocation, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index,0,10.13,-,-,-,5000.0,2.25,"1,000.00"
2372,Axis Long Duration Fund-Reg(G), Debt - Long Duration Fund, Open ended, NIFTY Long Duration Debt Index,0,1014.79,-,-,-,5000.0,0.75,"1,000.00"
2373,Edelweiss Focused Equity Fund-Reg(IDCW), Equity - Focused Fund, Open ended, NIFTY 500 - TRI,0,10.44,-,-,-,5000.0,2.53,"1,000.00"
2374,Quantum Nifty 50 ETF FoF-Reg(G), FoFs (Domestic) - Equity Oriented, Open ended, NIFTY 50 - TRI,0,10.38,-,-,-,1000.0,0.18,"1,000.00"
2375,Union Gilt Fund-Reg(H-IDCW), Debt - Gilt Fund, Open ended, CRISIL Dynamic Gilt Index,0,10.23,4.30,-,-,1000.0,1.17,"1,000.00"
2376,UTI Gilt Fund with 10 year Constant Duration-Reg(Q-IDCW), Debt - Gilt Fund with 10 year constant duration, Open ended, N/A,0,10.35,5.88,-,-,5000.0,0.69,"1,000.00"
2377,UTI Gilt Fund with 10 year Constant Duration-Reg(H-IDCW), Debt - Gilt Fund with 10 year constant duration, Open ended, N/A,0,10.35,5.88,-,-,5000.0,0.69,"1,000.00"
2378,UTI Gilt Fund with 10 year Constant Duration-Reg(A-IDCW), Debt - Gilt Fund with 10 year constant duration, Open ended, N/A,0,10.35,5.88,-,-,5000.0,0.69,"1,000.00"
2379,UTI Gilt Fund with 10 year Constant Duration-Reg(F-IDCW), Debt - Gilt Fund with 10 year constant duration, Open ended, N/A,0,10.35,5.88,-,-,5000.0,0.69,"1,000.00"
2380,DSP Nifty Midcap 150 Quality 50 Index Fund-Reg(IDCW), Index Funds - Other, Open ended, NIFTY Midcap150 Quality 50 - TRI,0,9.46,-,-,-,1000.0,1,"1,000.00"
2381,Quant Large Cap Fund-Reg(G), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI,0,9.54,-,-,-,5000.0,2.63,"1,000.00"
2382,Quant Large Cap Fund-Reg(IDCW), Equity - Large Cap Fund, Open ended, NIFTY 100 - TRI,0,9.54,-,-,-,5000.0,2.63,"1,000.00"
2383,ICICI Pru Nifty 200 Momentum 30 Index Fund-Reg(G), Index Funds - Other, Open ended, Nifty200 Momentum 30 - TRI,0,10.08,-,-,-,5000.0,0.99,"5,000.00"
2384,ICICI Pru Nifty 200 Momentum 30 Index Fund-Reg(IDCW), Index Funds - Other, Open ended, Nifty200 Momentum 30 - TRI,0,10.08,-,-,-,5000.0,0.99,"5,000.00"
2385,IDFC Midcap Fund-Reg(IDCW), Equity - Mid Cap Fund, Open ended, S&P BSE 150 MidCap - TRI,0,9.98,-,-,-,1000.0,2.53,"1,000.00"
2386,Union Gilt Fund-Reg(A-IDCW), Debt - Gilt Fund, Open ended, CRISIL Dynamic Gilt Index,0,10.23,4.30,-,-,1000.0,1.17,"1,000.00"
2387,Mirae Asset Balanced Advantage Fund-Reg(IDCW), Hybrid - Dynamic Asset Allocation, Open ended, NIFTY 50 Hybrid Composite Debt 50:50 Index,0,10.18,-,-,-,5000.0,2.27,"1,000.00"
2388,Baroda BNP Paribas Flexi Cap Fund-Reg(G), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI,0,10.1,-,-,-,5000.0,2.08,"1,000.00"
2389,Baroda BNP Paribas Flexi Cap Fund-Reg(IDCW), Equity - Flexi Cap Fund, Open ended, NIFTY 500 - TRI,0,10.1,-,-,-,5000.0,2.08,"1,000.00"
2390,ICICI Pru Nifty IT Index Fund-Reg(G), ETFs - Index, Open ended, NIFTY IT - TRI,0,10.49,-,-,-,1000.0,0.95,"1,000.00"
2391,ICICI Pru Nifty IT Index Fund-Reg(IDCW), ETFs - Index, Open ended, NIFTY IT - TRI,0,10.49,-,-,-,1000.0,0.95,"1,000.00"
2392,Aditya Birla SL Long Duration Fund-Reg(G), Debt - Long Duration Fund, Open ended, NIFTY Long Duration Debt Index,0,10.45,7.57,-,-,1000.0,1.06,"1,000.00"
2393,Aditya Birla SL Long Duration Fund-Reg(IDCW), Debt - Long Duration Fund, Open ended, NIFTY Long Duration Debt Index,0,10.44,7.46,-,-,1000.0,1.06,"1,000.00"
2394,Nippon India Nifty Alpha Low Volatility 30 Index Fund(G), Index Funds - Other, Open ended, NIFTY Alpha Low-Volatility 30 - TRI,0,10.14,-,-,-,1000.0,1.01,"1,000.00"
2395,Nippon India Nifty Alpha Low Volatility 30 Index Fund(IDCW), Index Funds - Other, Open ended, NIFTY Alpha Low-Volatility 30 - TRI,0,10.14,-,-,-,1000.0,1.01,"1,000.00"
2396,LIC MF Money Market Fund-Reg(IDCW), Debt - Money Market Fund, Open ended, Nifty Money Market Index,0,1026.71,4.92,-,-,5000.0,0.61,"1,000.00"
2397,Kotak Nifty SDL Jul 2026 Index Fund-Reg(G), Debt - Gilt Fund, Open ended, Nifty SDL Jul 2026 Index,0,10.08,-,-,-,5000.0,0.4,"1,000.00"
2398,Kotak Nifty SDL Plus AAA PSU Bond Jul 2028 60:40 Index Fund-Reg(G), Debt - Corporate Bond Fund, Open ended, Nifty SDL Plus AAA PSU Bond Jul 2028 60:40 Index,0,10.26,-,-,-,5000.0,0.39,"1,000.00"
2399,Canara Rob Banking and PSU Debt Fund-Reg(IDCW), Debt - Banking and PSU Fund, Open ended, CRISIL Banking and PSU Debt Index,0,10.2,-,-,-,5000.0,0.71,"1,000.00"
2400,TRUSTMF Money Market Fund-Reg(G), Debt - Money Market Fund, Open ended, CRISIL Money Market Index,0,1030.91,-,-,-,1000.0,0.32,"1,000.00"
